0:00:09.438723975  6392 0000000008A69300 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:09.438842334  6392 0000000008A69300 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:09.448243251  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:09.449701861  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:09.498714714  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1605:gst_audio_base_sink_get_alignment:<audioMainPreview-actual-sink-directsound> Unexpected discontinuity in audio timestamps of -0:00:00.040000000, resyncing
0:00:09.839974520  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1288:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew 20018875 > 20000000
0:00:09.903994441  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1316:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew -20027588 < -20000000
0:00:10.010662645  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1288:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew 20024619 > 20000000
0:00:10.053300969  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1316:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew -20003659 < -20000000
0:00:10.138725469  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1288:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew 20072799 > 20000000
0:00:10.245299829  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1316:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew -20015569 < -20000000
0:00:10.309425852  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1288:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew 20070267 > 20000000
0:00:10.394733525  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1316:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew -20001691 < -20000000
0:00:11.859742375  6392 0000000008A69500 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:11.859824346  6392 0000000008A69500 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:11.860110476  6392 0000000008A69500 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:11.860164867  6392 0000000008A69500 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:11.881250375  6392 0000000008A691C0 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:11.881503181  6392 0000000008A691C0 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:11.882298752  6392 0000000008A691C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:11.882361187  6392 0000000008A691C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:11.885859096  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:11.887708406  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:14.359040457  6392 0000000008A696C0 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:14.359194056  6392 0000000008A696C0 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:14.359660214  6392 0000000008A696C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:14.359747163  6392 0000000008A696C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:14.428586476  6392 0000000008A69580 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:14.428855752  6392 0000000008A69580 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:14.429522622  6392 0000000008A69580 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:14.429586207  6392 0000000008A69580 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:14.430495157  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:14.432239515  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:16.864277552  6392 0000000008A69780 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:16.864522697  6392 0000000008A69780 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:16.865080401  6392 0000000008A69780 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:16.865173480  6392 0000000008A69780 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:16.886440165  6392 0000000008A69800 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:16.886676883  6392 0000000008A69800 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:16.888128982  6392 0000000008A69800 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:16.888363019  6392 0000000008A69800 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:16.891920681  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:16.893501099  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:19.422660486  6392 000000000EA9E080 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:19.424124076  6392 000000000EA9E080 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:19.424417484  6392 000000000EA9E080 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:19.424465364  6392 000000000EA9E080 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:19.435455890  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:19.443330398  6392 000000000EA9E000 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:19.443425774  6392 000000000EA9E000 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:19.443732205  6392 000000000EA9E000 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:19.443779702  6392 000000000EA9E000 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:19.461146289  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:21.851838374  6392 000000000EF16000 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:21.851963245  6392 000000000EF16000 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:21.852332494  6392 000000000EF16000 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:21.852390716  6392 000000000EF16000 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:21.875325918  6392 000000000EF16180 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:21.875475303  6392 000000000EF16180 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:21.875789777  6392 000000000EF16180 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:21.875848765  6392 000000000EF16180 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
